Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
NUSCO;IT0005453110;NUS;"Euronext Growth Milan";EUR;1.02;1.02;0.99;1.00;"05/12/2023 17:19";CET;24000;24105.00;1.00;05/12/2023
NVP;IT0005390783;NVP;"Euronext Growth Milan";EUR;2.94;2.94;2.94;2.94;"04/12/2023 10:57";CET;1000;2940.00;2.94;05/12/2023
"OFFICINA STELLARE";IT0005374035;OS;"Euronext Growth Milan";EUR;10.20;10.30;9.90;10.20;"05/12/2023 17:22";CET;5000;50325.00;10.20;05/12/2023
OMER;IT0005453748;OMER;"Euronext Growth Milan";EUR;2.69;2.78;2.69;2.78;"05/12/2023 17:35";CET;1618;4440.84;2.78;05/12/2023
"OSAI AUTOM SYSTEM";IT0005424830;OSA;"Euronext Growth Milan";EUR;1.46;1.545;1.46;1.46;"05/12/2023 17:35";CET;91811;137926.82;1.46;05/12/2023
"PASQUARELLI AUTO";IT0005546319;PSQ;"Euronext Growth Milan";EUR;0.91;0.92;0.91;0.92;"05/12/2023 16:18";CET;16500;15169.00;0.92;05/12/2023
PATTERN;IT0005378143;PTR;"Euronext Growth Milan";EUR;7.35;7.40;7.15;7.30;"05/12/2023 17:35";CET;50882;368651.80;7.30;05/12/2023
PLANETEL;IT0005430951;PLN;"Euronext Growth Milan";EUR;4.70;4.70;4.70;4.70;"05/12/2023 11:58";CET;750;3525.00;4.70;05/12/2023
"POLIGRAF PRINTING";IT0004587470;POPR;"Euronext Growth Milan";EUR;0.326;0.356;0.326;0.34;"05/12/2023 13:29";CET;76000;26296.00;0.34;05/12/2023
"PORTO AVIATION";IT0005545238;PAG;"Euronext Growth Milan";EUR;4.48;4.56;4.48;4.56;"30/11/2023 16:25";CET;700;3164.00;4.56;05/12/2023
PORTOBELLO;IT0005337495;POR;"Euronext Growth Milan";EUR;10.25;10.90;9.78;10.70;"05/12/2023 17:35";CET;45750;474619.50;10.70;05/12/2023
POWERSOFT;IT0005353815;PWS;"Euronext Growth Milan";EUR;9.70;9.70;9.70;9.70;"05/12/2023 16:02";CET;1000;9700.00;9.70;05/12/2023
"POZZI MILANO";IT0005499949;POZ;"Euronext Growth Milan";EUR;0.842;0.844;0.774;0.78;"05/12/2023 17:35";CET;128750;103010.00;0.78;05/12/2023
"PREMIA FINANCE";IT0005442154;PFI;"Euronext Growth Milan";EUR;3.14;3.14;3.14;3.14;"15/05/2023 10:16";CET;1000;3140.00;3.14;05/12/2023
PRISMI;IT0004822695;PRM;"Euronext Growth Milan";EUR;0.097;0.097;0.094;0.0964;"05/12/2023 17:06";CET;98280;9377.09;0.0964;05/12/2023
PROMOTICA;IT0005425365;PMT;"Euronext Growth Milan";EUR;2.40;2.40;2.36;2.36;"05/12/2023 10:10";CET;3000;7140.00;2.36;05/12/2023
"RACING FORCE";IT0005466963;RFG;"Euronext Growth Milan";EUR;5.42;5.50;5.26;5.44;"05/12/2023 17:35";CET;2500;13485.54;5.44;05/12/2023
RADICI;IT0005379737;RAD;"Euronext Growth Milan";EUR;1.17;1.17;1.17;1.17;"05/12/2023 15:53";CET;3000;3510.00;1.17;05/12/2023
REDELFI;IT0005496101;RDF;"Euronext Growth Milan";EUR;5.60;5.60;5.44;5.54;"05/12/2023 17:27";CET;30000;165210.00;5.54;05/12/2023
REDFISH;IT0005549354;RFLTC;"Euronext Growth Milan";EUR;1.30;1.30;1.30;1.30;"05/12/2023 16:05";CET;7000;9100.00;1.30;05/12/2023
RELATECH;IT0005433740;RLT;"Euronext Growth Milan";EUR;2.31;2.34;2.26;2.34;"05/12/2023 17:35";CET;74550;171328.50;2.34;05/12/2023
RENERGETICA;IT0005340655;RNG;"Euronext Growth Milan";EUR;10.00;10.10;10.00;10.10;"05/12/2023 16:58";CET;8800;88165.00;10.10;05/12/2023
RES;IT0005543613;RES;"Euronext Growth Milan";EUR;4.30;4.35;4.20;4.35;"30/11/2023 10:21";CET;1085;4626.83;4.35;05/12/2023
RETI;IT0005418204;RETI;"Euronext Growth Milan";EUR;1.92;1.92;1.90;1.91;"04/12/2023 17:35";CET;13500;25815.00;1.91;05/12/2023
"REWAY GROUP";IT0005528069;RWY;"Euronext Growth Milan";EUR;4.31;4.40;4.30;4.35;"05/12/2023 17:19";CET;48000;206625.00;4.35;05/12/2023
"RIBA MUNDO";ES0105724001;RMT;"Euronext Growth Milan";EUR;19.50;19.50;19.50;19.50;"01/12/2023 12:08";CET;100;1950.00;19.50;05/12/2023
"ROCKET SHARING C";IT0005481830;RKT;"Euronext Growth Milan";EUR;0.425;0.425;0.405;0.417;"05/12/2023 15:21";CET;40000;16572.00;0.417;05/12/2023
"ROSETTI MARINO";IT0001017851;YRM;"Euronext Growth Milan";EUR;37.40;37.40;37.40;37.40;"09/11/2023 13:45";CET;100;3740.00;37.40;05/12/2023
"S.I.F. ITALIA";IT0005468290;SIF;"Euronext Growth Milan";EUR;2.52;2.52;2.52;2.52;"01/12/2023 16:56";CET;1000;2520.00;2.52;05/12/2023
"SACCHERIA F. FRANC";IT0005521551;SAC;"Euronext Growth Milan";EUR;1.03;1.15;1.01;1.15;"05/12/2023 17:35";CET;90000;98002.50;1.15;05/12/2023
SBE-VARVIT;IT0005568461;VARV;"Euronext Growth Milan";EUR;8.50;8.50;8.46;8.46;"05/12/2023 16:11";CET;1200;10176.00;8.46;05/12/2023
"SCIUKER FRAMES";IT0005340051;SCK;"Euronext Growth Milan";EUR;4.55;4.55;4.40;4.54;"05/12/2023 17:35";CET;55221;247977.59;4.54;05/12/2023
"SG COMPANY";IT0005337172;SGC;"Euronext Growth Milan";EUR;0.257;0.262;0.257;0.262;"05/12/2023 16:17";CET;69000;17823.00;0.262;05/12/2023
"SHEDIR PHARMA G";IT0005379620;SHE;"Euronext Growth Milan";EUR;4.50;4.56;4.50;4.54;"05/12/2023 17:05";CET;1500;6795.00;4.54;05/12/2023
SIAV;IT0005504128;SIAV;"Euronext Growth Milan";EUR;3.20;3.20;3.20;3.20;"05/12/2023 09:53";CET;500;1600.00;3.20;05/12/2023
"SICILY BY CAR";IT0005556581;SBC;"Euronext Growth Milan";EUR;6.50;6.62;6.50;6.62;"05/12/2023 17:35";CET;3529;23206.18;6.62;05/12/2023
"SOC EDIT IL FATTO";IT0005353484;SEIF;"Euronext Growth Milan";EUR;0.30;0.306;0.298;0.30;"05/12/2023 17:25";CET;22000;6604.00;0.298;05/12/2023
SOFTEC;IT0004735327;YSFT;"Euronext Growth Milan";EUR;1.04;1.04;1.02;1.02;"17/11/2023 10:45";CET;1350;1386.00;1.02;05/12/2023
"SOL CAP MANAG SIM";IT0005200248;SCM;"Euronext Growth Milan";EUR;2.62;2.62;2.62;2.62;"04/12/2023 09:37";CET;120;314.40;2.62;05/12/2023
"SOLID WORLD GROUP";IT0005497893;S3D;"Euronext Growth Milan";EUR;3.36;3.48;3.31;3.39;"05/12/2023 17:35";CET;75900;257804.25;3.39;05/12/2023
SOSTRAVEL.COM;IT0005338675;SOS;"Euronext Growth Milan";EUR;1.055;1.055;1.04;1.04;"05/12/2023 17:35";CET;750;787.50;1.04;05/12/2023
SPINDOX;IT0005449522;SPN;"Euronext Growth Milan";EUR;8.65;9.20;8.35;8.70;"05/12/2023 17:35";CET;30200;266750.00;8.70;05/12/2023
STAR7;IT0005466195;STAR7;"Euronext Growth Milan";EUR;6.55;7.00;6.55;6.70;"05/12/2023 17:29";CET;2610;17817.40;6.70;05/12/2023
"SVAS BIOSANA";IT0005469264;SVS;"Euronext Growth Milan";EUR;7.20;7.28;7.20;7.28;"05/12/2023 16:57";CET;565;4091.04;7.28;05/12/2023
"TAKE OFF";IT0005467425;TKF;"Euronext Growth Milan";EUR;0.80;0.835;0.78;0.80;"05/12/2023 17:25";CET;114556;92991.59;0.80;05/12/2023
TALEA;IT0005378333;TALEA;"Euronext Growth Milan";EUR;8.24;8.40;8.08;8.10;"05/12/2023 17:35";CET;5117;42058.78;8.10;05/12/2023
"TECMA SOLUTIONS";IT0005425050;TCM;"Euronext Growth Milan";EUR;3.38;3.50;3.22;3.34;"05/12/2023 17:24";CET;15200;50352.00;3.34;05/12/2023
TELESIA;IT0005240046;TLS;"Euronext Growth Milan";EUR;2.22;2.28;2.22;2.28;"05/12/2023 15:14";CET;1050;2340.00;2.28;05/12/2023
"TENAX INTERNAT";IT0005428898;TNX;"Euronext Growth Milan";EUR;2.64;2.64;2.64;2.64;"05/12/2023 14:54";CET;2800;7392.00;2.64;05/12/2023
"THE LIFEST G";IT0005523797;TLSG;"Euronext Growth Milan";EUR;0.06;0.06;0.06;0.06;"12/06/2023 17:35";CET;147000;8820.00;0.06;05/12/2023
"TMP GROUP";IT0005531238;TMP;"Euronext Growth Milan";EUR;5.08;5.08;5.08;5.08;"05/12/2023 16:16";CET;200;1016.00;5.08;05/12/2023
TPS;IT0005246142;TPS;"Euronext Growth Milan";EUR;5.70;5.70;5.70;5.70;"05/12/2023 12:43";CET;1000;5700.00;5.70;05/12/2023
"TRAWELL CO";IT0005378325;TWL;"Euronext Growth Milan";EUR;8.96;8.98;8.76;8.90;"05/12/2023 17:35";CET;1180;10460.80;8.90;05/12/2023
TRENDEVICE;IT0005422792;TD;"Euronext Growth Milan";EUR;0.299;0.30;0.299;0.30;"05/12/2023 10:59";CET;3000;898.50;0.30;05/12/2023
TWEPPY;IT0005437113;TWEP;"Euronext Growth Milan";EUR;0.825;0.825;0.825;0.825;"05/12/2023 17:21";CET;3200;2640.00;0.825;05/12/2023
UCAPITAL24;IT0005380461;U24;"Euronext Growth Milan";EUR;0.156;0.198;0.152;0.198;"05/12/2023 17:39";CET;900000;153848.00;0.198;05/12/2023
"ULISSE BIOMED";IT0005451213;UBM;"Euronext Growth Milan";EUR;1.76;1.95;1.725;1.95;"05/12/2023 17:39";CET;262000;487565.00;1.95;05/12/2023
VALICA;IT0005562514;VLC;"Euronext Growth Milan";EUR;7.10;7.10;7.10;7.10;"27/11/2023 17:26";CET;270;1917.00;7.10;05/12/2023
VALTECNE;IT0005532525;VLT;"Euronext Growth Milan";EUR;5.36;5.36;5.36;5.36;"28/11/2023 09:00";CET;600;3216.00;5.36;05/12/2023
"VANTEA SMART";IT0005433765;VNT;"Euronext Growth Milan";EUR;2.68;2.68;2.50;2.52;"05/12/2023 17:35";CET;64638;164754.24;2.52;05/12/2023
"VIMI FASTENERS";IT0004717200;VIM;"Euronext Growth Milan";EUR;1.30;1.31;1.30;1.31;"05/12/2023 09:14";CET;3000;3915.00;1.31;05/12/2023
"VISIBILIA EDITORE";IT0005433732;VE;"Euronext Growth Milan";EUR;0.399;0.399;0.374;0.384;"05/12/2023 14:58";CET;22834;8784.27;0.384;05/12/2023
VNE;IT0005556110;VNE;"Euronext Growth Milan";EUR;3.64;3.64;3.62;3.62;"30/11/2023 09:04";CET;1050;3808.00;3.62;05/12/2023
"W AATECH 23-26";IT0005550501;WAAT26;"Euronext Growth Milan";EUR;0.0801;0.0841;0.0801;0.0841;"05/12/2023 14:30";CET;58000;4781.80;0.0841;05/12/2023
"W ABC COMP 22-27";IT0005515363;WABC27;"Euronext Growth Milan";EUR;0.30;0.30;0.30;0.30;"13/10/2023 17:35";CET;1000;300.00;0.30;05/12/2023
"W ACQUAZZUR 21-24";IT0005443087;WACQ24;"Euronext Growth Milan";EUR;4.80;4.80;4.80;4.80;"12/04/2023 17:35";CET;35500;170400.00;4.80;05/12/2023
"W AGATOS 2018-2025";IT0005322786;WAGA25;"Euronext Growth Milan";EUR;0.011;0.0169;0.011;0.0169;"28/09/2023 15:59";CET;3500;44.40;0.0169;05/12/2023
"W ALFIO BARD 17-27";IT0005245607;WABTG;"Euronext Growth Milan";EUR;0.274;0.274;0.274;0.274;"29/11/2023 15:30";CET;1200;328.80;0.274;05/12/2023
"W ALFONSINO 21-24";IT0005467144;WALFO;"Euronext Growth Milan";EUR;0.0301;0.0301;0.0301;0.0301;"05/12/2023 17:35";CET;2000;60.20;0.0301;05/12/2023
"W ALTEA G P 22-24";IT0005472680;WAGP24;"Euronext Growth Milan";EUR;1.69;1.69;1.67;1.67;"05/12/2023 17:11";CET;13500;22645.00;1.67;05/12/2023
"W AMBROMOBIL 20-26";IT0005425092;WAMB26;"Euronext Growth Milan";EUR;0.16;0.1999;0.16;0.1999;"28/11/2023 16:18";CET;11050;1770.00;0.1999;05/12/2023
"W BELLINI  22-25";IT0005497158;WBELL;"Euronext Growth Milan";EUR;0.358;0.358;0.358;0.358;"17/10/2023 09:28";CET;2000;716.00;0.358;05/12/2023
"W CLABO 2021-2024";IT0005457004;WCLABO;"Euronext Growth Milan";EUR;0.4299;0.43;0.3999;0.3999;"28/11/2023 15:53";CET;3900;1664.91;0.3999;05/12/2023
"W CONVERGENZ 20-23";IT0005426199;WCVG23;"Euronext Growth Milan";EUR;0.0011;0.0021;0.0011;0.0015;"04/12/2023 15:06";CET;93946;142.81;0.0015;05/12/2023
"W COPERNICO 19-25";IT0005379372;WCOP25;"Euronext Growth Milan";EUR;0.6299;0.6299;0.6299;0.6299;"25/07/2023 09:00";CET;4;2.52;0.6299;05/12/2023
"W CUBE LABS 2025";IT0005532608;WCUBE;"Euronext Growth Milan";EUR;-;-;-;-;-;CET;-;-;-;-
"W DEOD GALLE 23-28";IT0005528929;WART28;"Euronext Growth Milan";EUR;0.0629;0.067;0.0629;0.067;"05/12/2023 16:32";CET;17900;1149.57;0.067;05/12/2023
"W DESTIN ITA 21-24";IT0005454001;WDIT24;"Euronext Growth Milan";EUR;0.0777;0.0777;0.0777;0.0777;"05/12/2023 17:10";CET;3227;250.74;0.0777;05/12/2023
"W ELES 19-26";IT0005374258;WELES;"Euronext Growth Milan";EUR;0.15;0.15;0.15;0.15;"05/12/2023 09:21";CET;1542;231.30;0.15;05/12/2023
"W EPRCOMUNIC 22-25";IT0005519795;WEPRB;"Euronext Growth Milan";EUR;0.19;0.195;0.19;0.195;"15/05/2023 12:15";CET;30200;5863.00;0.195;05/12/2023
"W ERFO 22-25";IT0005497836;WERFO;"Euronext Growth Milan";EUR;0.082;0.082;0.082;0.082;"24/11/2023 14:29";CET;2000;164.00;0.082;05/12/2023
"W FAE TECH 22-25";IT0005500639;WFAE25;"Euronext Growth Milan";EUR;0.2979;0.39;0.2979;0.39;"05/12/2023 16:10";CET;131010;43322.64;0.39;05/12/2023
"W FARMACOSMO 22-25";IT0005487415;WCOSMO;"Euronext Growth Milan";EUR;0.022;0.025;0.022;0.025;"01/12/2023 16:21";CET;29760;722.00;0.025;05/12/2023
"W FIN TECH 21-24";IT0005475147;WFTC24;"Euronext Growth Milan";EUR;0.0449;0.0449;0.0449;0.0449;"05/12/2023 09:38";CET;510;22.90;0.0449;05/12/2023
"W FRANCHETTI 22-25";IT0005508558;WFCH25;"Euronext Growth Milan";EUR;0.54;0.54;0.50;0.50;"05/12/2023 15:35";CET;7500;4030.00;0.50;05/12/2023
"W FRANCHI U MARMI";IT0005335739;WFUM;"Euronext Growth Milan";EUR;0.229;0.229;0.229;0.229;"28/11/2023 11:59";CET;10;2.29;0.229;05/12/2023
"W G RENT 21-24";IT0005445074;WGSR24;"Euronext Growth Milan";EUR;0.0129;0.0129;0.0129;0.0129;"16/11/2023 13:05";CET;2700;34.83;0.0129;05/12/2023
"W G.M. LEATH 22-25";IT0005498602;WGML25;"Euronext Growth Milan";EUR;0.09;0.0901;0.09;0.0901;"21/11/2023 10:20";CET;28000;2522.75;0.0901;05/12/2023
"W GISMONDI 19-24";IT0005391104;WGIS24;"Euronext Growth Milan";EUR;0.5718;0.5718;0.5718;0.5718;"01/12/2023 17:35";CET;250;142.95;0.5718;05/12/2023
"W H Q FOOD 22-25";IT0005496796;WHQF25;"Euronext Growth Milan";EUR;0.065;0.065;0.065;0.065;"07/07/2023 12:11";CET;10015;650.98;0.065;05/12/2023
"W IDNTT 21-24";CH1120637330;WIDNTT;"Euronext Growth Milan";EUR;0.1995;0.1995;0.1995;0.1995;"17/11/2023 16:42";CET;1000;199.50;0.1995;05/12/2023
"W IMPIANTI 22-25";IT0005518938;WMPT25;"Euronext Growth Milan";EUR;0.0597;0.0597;0.0597;0.0597;"23/11/2023 10:57";CET;60000;3582.00;0.0597;05/12/2023
"W IMPRENDIR 22-25";IT0005500555;WIMP25;"Euronext Growth Milan";EUR;0.0127;0.0127;0.011;0.011;"28/11/2023 15:42";CET;79500;942.50;0.011;05/12/2023
"W INNOVATEC 23-26";IT0005568305;WINC26;"Euronext Growth Milan";EUR;0.2631;0.284;0.2631;0.278;"05/12/2023 16:59";CET;98694;26965.56;0.278;05/12/2023
"W INT CARE C 21-24";IT0005469330;WICC24;"Euronext Growth Milan";EUR;0.24;0.24;0.24;0.24;"04/09/2023 09:00";CET;10;2.40;0.24;05/12/2023
"W ISCC FINTE 21-24";IT0005474124;WISC24;"Euronext Growth Milan";EUR;0.0898;0.0898;0.0898;0.0898;"29/11/2023 17:35";CET;200;17.96;0.0898;05/12/2023
"W IVISION 23-26";IT0005554776;WIVN26;"Euronext Growth Milan";EUR;0.0725;0.0725;0.0725;0.0725;"04/12/2023 12:15";CET;45000;3262.50;0.0725;05/12/2023
"W LINDBERGH 21-24";IT0005469207;WLDB24;"Euronext Growth Milan";EUR;0.10;0.1263;0.10;0.1263;"30/11/2023 15:25";CET;6810;681.53;0.1263;05/12/2023
"W MAPS 19-24";IT0005364325;WMAPS;"Euronext Growth Milan";EUR;0.74;0.74;0.74;0.74;"05/12/2023 12:25";CET;299;221.26;0.74;05/12/2023
"W MEGLIOQUES 21-25";IT0005450207;WMQSPA;"Euronext Growth Milan";EUR;0.0886;0.0886;0.0754;0.0879;"05/12/2023 17:35";CET;216010;16444.09;0.0879;05/12/2023
"W MIT SIM 22-24";IT0005473050;WMTS24;"Euronext Growth Milan";EUR;0.0409;0.0409;0.0409;0.0409;"25/05/2023 09:00";CET;2;0.08;0.0409;05/12/2023
"W NUSCO 21-24";IT0005453086;WNUS24;"Euronext Growth Milan";EUR;0.038;0.038;0.038;0.038;"05/12/2023 09:00";CET;1000;38.00;0.038;05/12/2023
"W OSAI 2020-2025";IT0005424822;WOSA25;"Euronext Growth Milan";EUR;0.75;0.75;0.75;0.75;"17/11/2023 15:33";CET;2000;1500.00;0.75;05/12/2023
"W POZZI MI 22-2027";IT0005499923;WPOZ27;"Euronext Growth Milan";EUR;0.19;0.21;0.1899;0.19;"04/12/2023 17:05";CET;90342;17930.41;0.19;05/12/2023
"W REDELFI 22-25";IT0005496028;WRDF25;"Euronext Growth Milan";EUR;1.60;1.645;1.544;1.6398;"05/12/2023 16:38";CET;19995;32317.84;1.6398;05/12/2023
"W REDFISH 23-25";IT0005549347;WRFLTC;"Euronext Growth Milan";EUR;0.08;0.08;0.08;0.08;"22/11/2023 16:45";CET;400;32.00;0.08;05/12/2023
"W ROCKET S C 22-25";IT0005481822;WRKT25;"Euronext Growth Milan";EUR;0.035;0.0373;0.0349;0.0373;"04/12/2023 13:02";CET;51000;1855.10;0.0373;05/12/2023
"W S.I.F. ITA 21-24";IT0005468282;WSIF24;"Euronext Growth Milan";EUR;0.0738;0.0738;0.0738;0.0738;"01/12/2023 17:04";CET;15000;1107.00;0.0738;05/12/2023
"W SAC F FRAN 22-25";IT0005521536;WSAC25;"Euronext Growth Milan";EUR;0.0501;0.0501;0.0501;0.0501;"05/12/2023 17:35";CET;50;2.51;0.0501;05/12/2023
"W SG COMPANY 18-27";IT0005347593;WSGC27;"Euronext Growth Milan";EUR;0.0344;0.038;0.0344;0.038;"05/12/2023 12:58";CET;80788;2799.51;0.038;05/12/2023
"W SIAV 2022-2025";IT0005504094;WSIAV;"Euronext Growth Milan";EUR;0.1796;0.1796;0.1796;0.1796;"22/11/2023 10:52";CET;1390;249.64;0.1796;05/12/2023
"W SICILY BY CAR A";IT0005556532;WSBCA;"Euronext Growth Milan";EUR;0.215;0.215;0.215;0.215;"04/12/2023 15:35";CET;50;10.75;0.215;05/12/2023
"W SICILY BY CAR B";IT0005556599;WSBCB;"Euronext Growth Milan";EUR;0.20;0.20;0.20;0.20;"24/11/2023 11:10";CET;12436;2487.20;0.20;05/12/2023
"W SICILY BY CAR C";IT0005556607;WSBCC;"Euronext Growth Milan";EUR;0.2099;0.2099;0.2099;0.2099;"27/11/2023 12:06";CET;585;122.79;0.2099;05/12/2023
"W SOST.COM 21-24";IT0005446718;WSOS24;"Euronext Growth Milan";EUR;0.1051;0.1051;0.1051;0.1051;"05/12/2023 09:56";CET;2400;252.24;0.1051;05/12/2023
"W SVAS BIOSA 21-24";IT0005469157;WSVS24;"Euronext Growth Milan";EUR;0.145;0.145;0.145;0.145;"09/11/2023 15:28";CET;1000;145.01;0.145;05/12/2023
"W TAKE OFF 22-24";IT0005467474;WTKF24;"Euronext Growth Milan";EUR;0.035;0.035;0.035;0.035;"22/11/2023 12:32";CET;1200;42.00;0.035;05/12/2023
"W TMP GROUP 23-25";IT0005531253;WTMP25;"Euronext Growth Milan";EUR;0.0699;0.0699;0.0699;0.0699;"10/11/2023 13:45";CET;1400;97.86;0.0699;05/12/2023
"W TRAWELL CO 21-24";IT0005446726;WTWL24;"Euronext Growth Milan";EUR;0.861;0.861;0.861;0.861;"04/12/2023 09:03";CET;100;86.10;0.861;05/12/2023
"W ULISSE BIO 21-26";IT0005453789;WUBM26;"Euronext Growth Milan";EUR;0.435;0.4899;0.435;0.48;"05/12/2023 17:08";CET;7051;3160.79;0.48;05/12/2023
"WA SOLID W G 22-25";IT0005498420;WS3D25;"Euronext Growth Milan";EUR;0.5149;0.5299;0.5052;0.5293;"05/12/2023 16:38";CET;53261;27164.07;0.5293;05/12/2023
"WARR ARRAS 23-26";IT0005540643;WAGU26;"Euronext Growth Milan";EUR;-;-;-;-;-;CET;-;-;-;-
"WARR DOTSTAY 22-25";IT0005523821;WDOT25;"Euronext Growth Milan";EUR;0.20;0.20;0.20;0.20;"02/08/2023 17:35";CET;451;90.20;0.20;05/12/2023
"WARR E-GLOBE 23-26";IT0005557472;WEGB26;"Euronext Growth Milan";EUR;0.145;0.21;0.145;0.21;"16/10/2023 12:41";CET;308000;62729.00;0.21;05/12/2023
"WARR EXECUS 23-26";IT0005557498;WEXE26;"Euronext Growth Milan";EUR;0.2014;0.2014;0.2014;0.2014;"30/11/2023 15:57";CET;2476;498.67;0.2014;05/12/2023
"WARR MAGIS";IT0005525321;WMGS;"Euronext Growth Milan";EUR;1.9998;1.9998;1.9998;1.9998;"20/11/2023 16:47";CET;500;999.90;1.9998;05/12/2023
"WCOFLE 21-24";IT0005465635;WCFL24;"Euronext Growth Milan";EUR;0.245;0.245;0.245;0.245;"02/10/2023 11:47";CET;756;185.22;0.245;05/12/2023
WEBSOLUTE;IT0005384901;WBS;"Euronext Growth Milan";EUR;1.35;1.39;1.31;1.34;"05/12/2023 16:34";CET;29700;40128.00;1.34;05/12/2023
"WPASQUARELLI 23-26";IT0005546301;WPSQ26;"Euronext Growth Milan";EUR;0.0598;0.0599;0.0598;0.0599;"24/11/2023 13:17";CET;3000;179.60;0.0599;05/12/2023
"WPRISMI 2018-2025";IT0005326613;WPRM25;"Euronext Growth Milan";EUR;0.015;0.015;0.015;0.015;"29/11/2023 12:21";CET;3210;48.15;0.015;05/12/2023
XENIA;IT0005568487;XHS;"Euronext Growth Milan";EUR;3.00;3.00;2.8385;2.8385;"06/11/2023 17:35";CET;4500;13324.25;2.84;05/12/2023
"YOLO GROUP";IT0005495871;YOLO;"Euronext Growth Milan";EUR;2.60;2.60;2.60;2.60;"01/12/2023 17:35";CET;3000;7800.00;2.60;05/12/2023
